"","chain","co_owned","empft","firstinc","hrsopen","inctime","meals","state","emptot","treated","time","observation","pct_fte","wage_st"
"1","wendys","yes",20,0.1,12,26,"reduced price meals","Pennsylvania",34,0,0,"February 1992",58.8235294117647,5
"2","wendys","yes",6,0.15,12,52,"both free and reduced price meals","Pennsylvania",24,0,0,"February 1992",25,5.5
"3","wendys","yes",0,0.07,12,26,"reduced price meals","Pennsylvania",20.5,0,0,"February 1992",0,5
"4","bk","no",50,0.1,18,26,"reduced price meals","Pennsylvania",70.5,0,0,"February 1992",70.9219858156028,5
"5","bk","no",10,0.25,24,52,"reduced price meals","Pennsylvania",23.5,0,0,"February 1992",42.5531914893617,5
"6","kfc","yes",2,0.25,10,13,"free meals","Pennsylvania",11,0,0,"February 1992",18.1818181818182,5.25
"7","kfc","yes",2,0.15,10,19,"free meals","Pennsylvania",9,0,0,"February 1992",22.2222222222222,5
"8","roys","yes",2.5,0.37,12.5,13,"reduced price meals","Pennsylvania",15.5,0,0,"February 1992",16.1290322580645,5
"9","bk","no",40,0.17,18,13,"reduced price meals","Pennsylvania",58,0,0,"February 1992",68.9655172413793,5
"10","bk","no",8,0.25,18,39,"reduced price meals","Pennsylvania",26.5,0,0,"February 1992",30.188679245283,5
"11","bk","no",6,0.37,12.5,26,"reduced price meals","Pennsylvania",13.5,0,0,"February 1992",44.4444444444444,5
"12","kfc","yes",5,0.25,10,26,"both free and reduced price meals","Pennsylvania",16.75,0,0,"February 1992",29.8507462686567,5.25
"13","kfc","yes",1,0.07,10,13,"reduced price meals","Pennsylvania",9.5,0,0,"February 1992",10.5263157894737,5
"14","roys","yes",10,0.17,11.5,13,"reduced price meals","Pennsylvania",15,0,0,"February 1992",66.6666666666667,5
"15","roys","no",20,0.25,16,13,"reduced price meals","Pennsylvania",29.5,0,0,"February 1992",67.7966101694915,5
"16","roys","no",5,0.37,14,13,"reduced price meals","Pennsylvania",18.5,0,0,"February 1992",27.027027027027,5
"17","roys","yes",10,0.12,16,13,"reduced price meals","Pennsylvania",20.25,0,0,"February 1992",49.3827160493827,5
"18","roys","yes",27,0.25,16,26,"reduced price meals","Pennsylvania",36,0,0,"February 1992",75,5
"19","roys","no",4,0.25,15,26,"reduced price meals","Pennsylvania",21,0,0,"February 1992",19.047619047619,5
"20","roys","yes",10,0.17,16,13,"reduced price meals","Pennsylvania",20.5,0,0,"February 1992",48.780487804878,5
"21","wendys","yes",0,0.07,12,26,"reduced price meals","Pennsylvania",19,0,0,"February 1992",0,5
"22","roys","yes",3,0.25,16,13,"reduced price meals","Pennsylvania",14,0,0,"February 1992",21.4285714285714,5
"23","roys","yes",7,0.2,16,13,"reduced price meals","Pennsylvania",19,0,0,"February 1992",36.8421052631579,5
"24","bk","no",21,0.25,16.5,4,"reduced price meals","Pennsylvania",32.5,0,0,"February 1992",64.6153846153846,4.25
"25","bk","no",10,0.15,16.5,4,"reduced price meals","Pennsylvania",27,0,0,"February 1992",37.037037037037,4.25
"26","bk","no",0,0.2,16.5,18,"reduced price meals","Pennsylvania",19.5,0,0,"February 1992",0,4.25
"27","bk","no",0,0.25,16,2,"reduced price meals","Pennsylvania",18,0,0,"February 1992",0,4.25
"28","bk","no",6,0.2,14,13,"both free and reduced price meals","Pennsylvania",19,0,0,"February 1992",31.5789473684211,4.25
"29","wendys","yes",30,0.07,12,26,"reduced price meals","Pennsylvania",38,0,0,"February 1992",78.9473684210526,4.67
"30","wendys","yes",8,0.15,12,26,"reduced price meals","Pennsylvania",23.5,0,0,"February 1992",34.0425531914894,4.75
"31","wendys","no",0,0.1,10.5,26,"free meals","Pennsylvania",10.5,0,0,"February 1992",0,4.25
"32","wendys","no",10,0.1,11.5,4,"free meals","Pennsylvania",25,0,0,"February 1992",40,4.25
"33","kfc","yes",2,0.12,10,52,"both free and reduced price meals","Pennsylvania",11,0,0,"February 1992",18.1818181818182,4.75
"34","bk","no",20,0.15,15,13,"reduced price meals","Pennsylvania",36.5,0,0,"February 1992",54.7945205479452,4.25
"35","bk","no",20,0.15,16,17,"reduced price meals","Pennsylvania",52.5,0,0,"February 1992",38.0952380952381,4.5
"36","bk","no",10,0.15,16,13,"reduced price meals","Pennsylvania",29,0,0,"February 1992",34.4827586206897,4.25
"37","bk","no",15,0.25,16,6,"reduced price meals","Pennsylvania",45,0,0,"February 1992",33.3333333333333,4.25
"38","bk","no",1,0.17,15.5,4,"reduced price meals","Pennsylvania",22.75,0,0,"February 1992",4.3956043956044,4.25
"39","kfc","no",0,0.07,8,52,"reduced price meals","Pennsylvania",7.5,0,0,"February 1992",0,4.25
"40","wendys","no",0,0.15,11.5,19,"reduced price meals","Pennsylvania",15.5,0,0,"February 1992",0,4.25
"41","wendys","no",30,0.25,11.5,4,"reduced price meals","Pennsylvania",38,0,0,"February 1992",78.9473684210526,4.25
"42","wendys","no",4,0.25,11.5,4,"reduced price meals","Pennsylvania",17.5,0,0,"February 1992",22.8571428571429,4.25
"43","wendys","no",12,0.37,12.5,19,"reduced price meals","Pennsylvania",25,0,0,"February 1992",48,4.25
"44","bk","no",8,0.25,18,4,"reduced price meals","Pennsylvania",21,0,0,"February 1992",38.0952380952381,4.75
"45","bk","no",2,0.15,16.5,13,"reduced price meals","Pennsylvania",15.5,0,0,"February 1992",12.9032258064516,4.75
"46","kfc","yes",1,0.15,10,4,"reduced price meals","Pennsylvania",8.5,0,0,"February 1992",11.7647058823529,4.5
"47","roys","yes",5,0.37,16,13,"reduced price meals","Pennsylvania",18,0,0,"February 1992",27.7777777777778,4.25
"48","wendys","no",8,0.3,11.5,17,"both free and reduced price meals","Pennsylvania",20.75,0,0,"February 1992",38.5542168674699,4.75
"49","bk","no",5,0.5,17,26,"reduced price meals","Pennsylvania",22.5,0,0,"February 1992",22.2222222222222,4.75
"50","bk","no",6,0.12,18,52,"reduced price meals","Pennsylvania",24,0,0,"February 1992",25,4.25
"51","bk","no",8,0.12,16.5,39,"reduced price meals","Pennsylvania",26,0,0,"February 1992",30.7692307692308,4.25
"52","bk","no",32,0.22,19,13,"reduced price meals","Pennsylvania",48.5,0,0,"February 1992",65.979381443299,4.5
"53","kfc","yes",1,0.37,10,26,"reduced price meals","Pennsylvania",8.5,0,0,"February 1992",11.7647058823529,4.5
"54","roys","no",4,0.37,13,13,"reduced price meals","Pennsylvania",18.5,0,0,"February 1992",21.6216216216216,4.5
"55","roys","yes",2,0.25,12.5,13,"reduced price meals","Pennsylvania",13,0,0,"February 1992",15.3846153846154,4.5
"56","wendys","yes",12,0.15,12,13,"reduced price meals","Pennsylvania",22.5,0,0,"February 1992",53.3333333333333,4.5
"57","wendys","yes",20,0.1,12,26,"reduced price meals","Pennsylvania",28,0,0,"February 1992",71.4285714285714,4.75
"58","bk","no",14,0.37,16.5,4,"reduced price meals","Pennsylvania",24.5,0,0,"February 1992",57.1428571428571,4.25
"59","roys","yes",7,0.25,16,26,"reduced price meals","Pennsylvania",23.5,0,0,"February 1992",29.7872340425532,4.25
"60","roys","yes",4,0.15,16.5,9,"reduced price meals","Pennsylvania",15,0,0,"February 1992",26.6666666666667,4.75
"61","roys","no",5,0.25,16,26,"reduced price meals","Pennsylvania",18,0,0,"February 1992",27.7777777777778,4.5
"62","roys","yes",6,0.12,16,13,"both free and reduced price meals","Pennsylvania",20.25,0,0,"February 1992",29.6296296296296,4.75
"63","bk","no",2,0.2,16,26,"both free and reduced price meals","Pennsylvania",21,0,0,"February 1992",9.52380952380952,4.35
"64","roys","yes",2,0.25,7,13,"free meals","New Jersey",5,1,0,"February 1992",40,5
"65","kfc","no",10,0.25,11,6,"both free and reduced price meals","New Jersey",16,1,0,"February 1992",62.5,5.12
"66","kfc","no",6,0.37,10,13,"free meals","New Jersey",10,1,0,"February 1992",60,5
"67","kfc","no",4,0.15,11,13,"reduced price meals","New Jersey",15,1,0,"February 1992",26.6666666666667,5.25
"68","roys","no",12,0.25,17,26,"reduced price meals","New Jersey",26,1,0,"February 1992",46.1538461538462,5
"69","wendys","no",8,0.17,13,30,"reduced price meals","New Jersey",18,1,0,"February 1992",44.4444444444444,5.5
"70","roys","no",6,0.15,19,4,"reduced price meals","New Jersey",35,1,0,"February 1992",17.1428571428571,5
"71","roys","yes",13,0.15,17,26,"reduced price meals","New Jersey",21,1,0,"February 1992",61.9047619047619,5
"72","wendys","no",25,0.1,12,26,"reduced price meals","New Jersey",34.5,1,0,"February 1992",72.463768115942,5
"73","wendys","no",8,0.37,13.5,13,"reduced price meals","New Jersey",18.25,1,0,"February 1992",43.8356164383562,5
"74","wendys","no",12.5,0.25,13.5,13,"reduced price meals","New Jersey",24.5,1,0,"February 1992",51.0204081632653,5
"75","bk","no",7,0.52,12.5,26,"free meals","New Jersey",20,1,0,"February 1992",35,5.5
"76","bk","yes",10,0.17,16,13,"reduced price meals","New Jersey",16,1,0,"February 1992",62.5,5
"77","kfc","no",0,0.25,10,26,"both free and reduced price meals","New Jersey",17.5,1,0,"February 1992",0,5
"78","wendys","no",12.5,0.27,11.5,26,"reduced price meals","New Jersey",20.5,1,0,"February 1992",60.9756097560976,5
"79","wendys","no",4,0.2,14,13,"reduced price meals","New Jersey",20,1,0,"February 1992",20,5
"80","roys","no",20,0.05,16,26,"reduced price meals","New Jersey",33,1,0,"February 1992",60.6060606060606,5.25
"81","roys","no",15,0.37,17,4,"reduced price meals","New Jersey",31.5,1,0,"February 1992",47.6190476190476,5.5
"82","wendys","no",0,0.25,11.5,26,"reduced price meals","New Jersey",18,1,0,"February 1992",0,5.37
"83","wendys","no",10,0.15,12.5,26,"reduced price meals","New Jersey",28,1,0,"February 1992",35.7142857142857,5.05
"84","bk","no",5,0.15,16,13,"reduced price meals","New Jersey",16.5,1,0,"February 1992",30.3030303030303,5
"85","bk","no",8.5,0.25,14,8,"reduced price meals","New Jersey",14.75,1,0,"February 1992",57.6271186440678,5.12
"86","bk","no",4.5,0.17,17,26,"reduced price meals","New Jersey",23.5,1,0,"February 1992",19.1489361702128,5.25
"87","bk","no",1,0.1,15,12,"reduced price meals","New Jersey",10,1,0,"February 1992",10,5
"88","bk","no",35,0.67,15,9,"free meals","New Jersey",46.5,1,0,"February 1992",75.2688172043011,5.12
"89","kfc","no",10,0.25,12,26,"free meals","New Jersey",15.5,1,0,"February 1992",64.5161290322581,5
"90","roys","yes",8,0.15,17,19,"reduced price meals","New Jersey",24.5,1,0,"February 1992",32.6530612244898,5
"91","roys","yes",12,0.15,16.5,13,"reduced price meals","New Jersey",24,1,0,"February 1992",50,5
"92","roys","yes",4,0.1,19,26,"reduced price meals","New Jersey",23,1,0,"February 1992",17.3913043478261,5
"93","wendys","no",20,0.27,12.5,15,"reduced price meals","New Jersey",28,1,0,"February 1992",71.4285714285714,5
"94","bk","yes",12,0.25,16,13,"reduced price meals","New Jersey",32.5,1,0,"February 1992",36.9230769230769,5
"95","bk","yes",10,0.52,16,52,"reduced price meals","New Jersey",23,1,0,"February 1992",43.4782608695652,5
"96","roys","no",4,0.52,15,26,"reduced price meals","New Jersey",17,1,0,"February 1992",23.5294117647059,5.62
"97","roys","yes",5,0.12,16,26,"reduced price meals","New Jersey",30,1,0,"February 1992",16.6666666666667,5
"98","wendys","yes",8,0.2,11.5,26,"reduced price meals","New Jersey",21.5,1,0,"February 1992",37.2093023255814,5
"99","bk","no",23,0.25,17,26,"reduced price meals","New Jersey",32,1,0,"February 1992",71.875,5
"100","roys","yes",15,0.25,17,26,"reduced price meals","New Jersey",35.5,1,0,"February 1992",42.2535211267606,5.1
"101","roys","no",15,0.37,16,13,"reduced price meals","New Jersey",31.5,1,0,"February 1992",47.6190476190476,5
"102","roys","yes",25,0.25,17,13,"reduced price meals","New Jersey",33,1,0,"February 1992",75.7575757575758,5.25
"103","bk","no",13,0.25,14.5,4,"reduced price meals","New Jersey",23,1,0,"February 1992",56.5217391304348,5
"104","bk","yes",10,0.17,15,26,"reduced price meals","New Jersey",23,1,0,"February 1992",43.4782608695652,5
"105","kfc","yes",0,0.1,11,13,"reduced price meals","New Jersey",8.5,1,0,"February 1992",0,5
"106","kfc","yes",4,0.2,11,4,"free meals","New Jersey",12.5,1,0,"February 1992",32,5.05
"107","kfc","yes",0,0.12,10,26,"reduced price meals","New Jersey",9.5,1,0,"February 1992",0,5.5
"108","kfc","yes",5,0.25,10.5,26,"reduced price meals","New Jersey",13,1,0,"February 1992",38.4615384615385,5
"109","bk","yes",5,0.25,16,26,"reduced price meals","New Jersey",17,1,0,"February 1992",29.4117647058824,5.3
"110","kfc","yes",8,0.36,10.5,11,"both free and reduced price meals","New Jersey",19,1,0,"February 1992",42.1052631578947,5
"111","kfc","no",5,0.12,12,13,"reduced price meals","New Jersey",11.5,1,0,"February 1992",43.4782608695652,5
"112","roys","no",20,0.2,24,26,"reduced price meals","New Jersey",48,1,0,"February 1992",41.6666666666667,5.25
"113","roys","yes",18,0.15,24,11,"reduced price meals","New Jersey",45.5,1,0,"February 1992",39.5604395604396,5.15
"114","wendys","no",4,0.12,15.5,13,"free meals","New Jersey",15,1,0,"February 1992",26.6666666666667,5.42
"115","bk","no",10,0.17,12.5,4,"both free and reduced price meals","New Jersey",18,1,0,"February 1992",55.5555555555556,5
"116","roys","yes",2.5,0.15,16,6,"reduced price meals","New Jersey",21,1,0,"February 1992",11.9047619047619,5
"117","wendys","no",14,0.25,10.5,4,"free meals","New Jersey",20.5,1,0,"February 1992",68.2926829268293,5.06
"118","wendys","no",4.5,0.2,11.5,16,"free meals","New Jersey",17.5,1,0,"February 1992",25.7142857142857,5
"119","bk","no",12,0.15,16,13,"reduced price meals","New Jersey",27.5,1,0,"February 1992",43.6363636363636,5
"120","bk","yes",14,0.25,15.5,4,"reduced price meals","New Jersey",24,1,0,"February 1992",58.3333333333333,5
"121","bk","no",25,0.25,15,26,"free meals","New Jersey",34,1,0,"February 1992",73.5294117647059,5.25
"122","bk","yes",10,0.1,18.5,52,"reduced price meals","New Jersey",18,1,0,"February 1992",55.5555555555556,5
"123","bk","no",10,0.5,16.5,13,"reduced price meals","New Jersey",24,1,0,"February 1992",41.6666666666667,5
"124","wendys","yes",5,0.15,10.5,26,"reduced price meals","New Jersey",12,1,0,"February 1992",41.6666666666667,5.75
"125","bk","no",10,0.5,14,26,"free meals","New Jersey",16,1,0,"February 1992",62.5,4.75
"126","kfc","no",6,0.25,10,13,"reduced price meals","New Jersey",15.5,1,0,"February 1992",38.7096774193548,4.25
"127","roys","no",10,0.25,12.5,4,"reduced price meals","New Jersey",19,1,0,"February 1992",52.6315789473684,4.75
"128","roys","no",5,0.17,17,13,"free meals","New Jersey",24,1,0,"February 1992",20.8333333333333,4.5
"129","bk","no",12,0.15,16,26,"reduced price meals","New Jersey",36,1,0,"February 1992",33.3333333333333,4.37
"130","bk","no",15,0.17,16,39,"reduced price meals","New Jersey",29,1,0,"February 1992",51.7241379310345,4.25
"131","bk","no",10,0.1,16,26,"reduced price meals","New Jersey",29,1,0,"February 1992",34.4827586206897,4.25
"132","bk","no",6.5,0.1,16,9,"reduced price meals","New Jersey",21.25,1,0,"February 1992",30.5882352941176,4.37
"133","kfc","no",0,0.25,10,7,"reduced price meals","New Jersey",15.5,1,0,"February 1992",0,4.5
"134","roys","no",3,0.15,17,9,"reduced price meals","New Jersey",19.5,1,0,"February 1992",15.3846153846154,4.6
"135","roys","no",6,0.25,17,13,"reduced price meals","New Jersey",21,1,0,"February 1992",28.5714285714286,4.5
"136","roys","no",0,0.25,17,13,"reduced price meals","New Jersey",14,1,0,"February 1992",0,4.37
"137","bk","no",4,0.25,16,4,"reduced price meals","New Jersey",23.5,1,0,"February 1992",17.0212765957447,4.25
"138","kfc","no",5,0.1,10.5,6,"reduced price meals","New Jersey",14,1,0,"February 1992",35.7142857142857,4.45
"139","roys","no",3,0.12,16,26,"reduced price meals","New Jersey",14.5,1,0,"February 1992",20.6896551724138,4.35
"140","bk","no",0,0.12,16,26,"reduced price meals","New Jersey",15.5,1,0,"February 1992",0,4.5
"141","bk","no",15,0.25,16,13,"reduced price meals","New Jersey",26.5,1,0,"February 1992",56.6037735849057,4.75
"142","kfc","no",0,0.25,11,4,"reduced price meals","New Jersey",5.5,1,0,"February 1992",0,4.5
"143","roys","no",10,0.25,11.5,26,"reduced price meals","New Jersey",23.25,1,0,"February 1992",43.010752688172,4.5
"144","wendys","no",25,0.25,11.5,9,"reduced price meals","New Jersey",32.25,1,0,"February 1992",77.5193798449613,4.5
"145","bk","no",15,0.15,17,17,"reduced price meals","New Jersey",30,1,0,"February 1992",50,4.25
"146","bk","no",20,0.2,16,26,"both free and reduced price meals","New Jersey",30.5,1,0,"February 1992",65.5737704918033,4.5
"147","bk","no",0,0.25,15.5,52,"reduced price meals","New Jersey",14,1,0,"February 1992",0,4.8
"148","bk","no",15,0.15,17,26,"reduced price meals","New Jersey",27,1,0,"February 1992",55.5555555555556,4.25
"149","bk","no",5,0.25,13.5,13,"free meals","New Jersey",18.5,1,0,"February 1992",27.027027027027,4.5
"150","bk","no",30,0.05,17,14,"both free and reduced price meals","New Jersey",38,1,0,"February 1992",78.9473684210526,4.25
"151","bk","no",0,0.22,18,13,"reduced price meals","New Jersey",16.5,1,0,"February 1992",0,4.25
"152","bk","no",35,0.27,16,13,"free meals","New Jersey",50,1,0,"February 1992",70,4.5
"153","bk","no",0,0.25,17,13,"both free and reduced price meals","New Jersey",20.5,1,0,"February 1992",0,4.75
"154","kfc","no",3,0.25,11,4,"reduced price meals","New Jersey",13.5,1,0,"February 1992",22.2222222222222,4.25
"155","roys","yes",8,0.2,17,26,"reduced price meals","New Jersey",28,1,0,"February 1992",28.5714285714286,4.25
"156","roys","yes",6,0.15,17,26,"reduced price meals","New Jersey",21.5,1,0,"February 1992",27.906976744186,4.5
"157","bk","no",4,0.15,16,26,"reduced price meals","New Jersey",24,1,0,"February 1992",16.6666666666667,4.5
"158","bk","no",11,0.25,15,13,"both free and reduced price meals","New Jersey",20.5,1,0,"February 1992",53.6585365853659,4.25
"159","bk","yes",8,0.15,17,8,"reduced price meals","New Jersey",23,1,0,"February 1992",34.7826086956522,4.25
"160","bk","yes",4,0.75,15,13,"reduced price meals","New Jersey",17,1,0,"February 1992",23.5294117647059,4.25
"161","bk","yes",2.5,0.15,16,52,"reduced price meals","New Jersey",20.5,1,0,"February 1992",12.1951219512195,4.25
"162","kfc","no",18,0.27,10,26,"free meals","New Jersey",23.5,1,0,"February 1992",76.5957446808511,4.25
"163","kfc","no",0,0.12,10,26,"reduced price meals","New Jersey",9.5,1,0,"February 1992",0,4.25
"164","kfc","no",0,0.25,10,13,"reduced price meals","New Jersey",10,1,0,"February 1992",0,4.25
"165","kfc","no",0,0.4,10,13,"both free and reduced price meals","New Jersey",14,1,0,"February 1992",0,4.25
"166","roys","yes",60,0.15,24,26,"reduced price meals","New Jersey",85,1,0,"February 1992",70.5882352941177,4.75
"167","roys","no",4.5,0.15,15,26,"reduced price meals","New Jersey",15,1,0,"February 1992",30,4.75
"168","roys","no",12,0.2,16,52,"reduced price meals","New Jersey",21.5,1,0,"February 1992",55.8139534883721,4.4
"169","wendys","no",40,0.32,11.5,4,"reduced price meals","New Jersey",53,1,0,"February 1992",75.4716981132076,4.62
"170","bk","no",0,0.27,16,26,"both free and reduced price meals","New Jersey",20.5,1,0,"February 1992",0,4.25
"171","bk","yes",6,0.32,14.5,8,"free meals","New Jersey",14.5,1,0,"February 1992",41.3793103448276,4.25
"172","bk","no",13.5,0.37,17,26,"free meals","New Jersey",25,1,0,"February 1992",54,4.25
"173","roys","no",17,0.42,16,2,"both free and reduced price meals","New Jersey",27,1,0,"February 1992",62.962962962963,4.25
"174","bk","no",0,0.57,16,26,"reduced price meals","New Jersey",22.5,1,0,"February 1992",0,4.75
"175","bk","no",20,0.3,17,4,"free meals","New Jersey",36.5,1,0,"February 1992",54.7945205479452,4.75
"176","bk","no",4,0.37,13,18,"reduced price meals","New Jersey",17.25,1,0,"February 1992",23.1884057971014,4.25
"177","bk","no",10,0.15,15,26,"reduced price meals","New Jersey",21.5,1,0,"February 1992",46.5116279069767,4.25
"178","bk","no",12,0.27,16.5,13,"both free and reduced price meals","New Jersey",24.5,1,0,"February 1992",48.9795918367347,4.75
"179","bk","no",1,0.2,12.5,4,"free meals","New Jersey",25,1,0,"February 1992",4,4.25
"180","bk","no",8,0.25,15,13,"reduced price meals","New Jersey",16,1,0,"February 1992",50,4.25
"181","kfc","no",15,0.25,12.5,26,"free meals","New Jersey",19,1,0,"February 1992",78.9473684210526,4.5
"182","roys","yes",7,0.3,18,19,"reduced price meals","New Jersey",22.75,1,0,"February 1992",30.7692307692308,4.5
"183","roys","yes",20,0.25,24,26,"reduced price meals","New Jersey",35,1,0,"February 1992",57.1428571428571,4.5
"184","roys","yes",14.5,0.27,17,21,"reduced price meals","New Jersey",26.75,1,0,"February 1992",54.2056074766355,4.25
"185","roys","yes",15,0.15,16,26,"reduced price meals","New Jersey",30.5,1,0,"February 1992",49.1803278688525,4.25
"186","wendys","no",0,0.37,11.5,26,"reduced price meals","New Jersey",23,1,0,"February 1992",0,4.5
"187","wendys","no",10,0.27,12.5,13,"reduced price meals","New Jersey",21.5,1,0,"February 1992",46.5116279069767,4.75
"188","wendys","no",15,0.15,11.5,26,"reduced price meals","New Jersey",36.5,1,0,"February 1992",41.0958904109589,4.25
"189","bk","no",8,0.25,16,26,"reduced price meals","New Jersey",23,1,0,"February 1992",34.7826086956522,4.8
"190","bk","no",0,0.27,16,26,"both free and reduced price meals","New Jersey",14,1,0,"February 1992",0,4.5
"191","bk","no",0,0.27,16,26,"reduced price meals","New Jersey",17.25,1,0,"February 1992",0,4.67
"192","bk","no",8,0.25,15,6,"free meals","New Jersey",18.5,1,0,"February 1992",43.2432432432432,4.87
"193","kfc","no",2,0.12,10,4,"free meals","New Jersey",8.5,1,0,"February 1992",23.5294117647059,4.5
"194","kfc","no",6,0.12,10.5,4,"free meals","New Jersey",14,1,0,"February 1992",42.8571428571429,4.5
"195","roys","yes",0,0.17,16.5,26,"reduced price meals","New Jersey",23,1,0,"February 1992",0,4.75
"196","wendys","no",8,0.25,11.5,26,"reduced price meals","New Jersey",29,1,0,"February 1992",27.5862068965517,4.75
"197","bk","no",5,0.25,15,4,"free meals","New Jersey",19,1,0,"February 1992",26.3157894736842,4.25
"198","bk","yes",2,0.25,16,8,"reduced price meals","New Jersey",21,1,0,"February 1992",9.52380952380952,4.25
"199","bk","no",0,0.25,12.5,13,"free meals","New Jersey",17,1,0,"February 1992",0,4.75
"200","bk","no",6,0.15,17.5,26,"reduced price meals","New Jersey",36,1,0,"February 1992",16.6666666666667,4.85
"201","bk","no",11,0.15,16,26,"reduced price meals","New Jersey",25,1,0,"February 1992",44,4.75
"202","bk","no",15,0.12,16,13,"free meals","New Jersey",29.5,1,0,"February 1992",50.8474576271186,4.62
"203","kfc","yes",13,0.2,10,52,"free meals","New Jersey",22,1,0,"February 1992",59.0909090909091,4.25
"204","kfc","no",2,0.25,10.5,13,"free meals","New Jersey",11,1,0,"February 1992",18.1818181818182,4.25
"205","kfc","no",8,0.25,11,26,"reduced price meals","New Jersey",13.5,1,0,"February 1992",59.2592592592593,4.5
"206","kfc","no",3,0.25,11,4,"reduced price meals","New Jersey",13.5,1,0,"February 1992",22.2222222222222,4.5
"207","kfc","no",12,0.33,11,20,"both free and reduced price meals","New Jersey",18,1,0,"February 1992",66.6666666666667,4.62
"208","kfc","no",2,0.2,10.5,13,"reduced price meals","New Jersey",9.5,1,0,"February 1992",21.0526315789474,4.5
"209","roys","no",10,0.15,16,26,"reduced price meals","New Jersey",24,1,0,"February 1992",41.6666666666667,4.75
"210","roys","no",4,0.2,15,39,"reduced price meals","New Jersey",14.5,1,0,"February 1992",27.5862068965517,4.75
"211","wendys","no",20,0.17,12,26,"reduced price meals","New Jersey",29,1,0,"February 1992",68.9655172413793,4.87
